est1 est2 est3 est4 est5 est6 est7 est8 est9 est10 est11 est12 est13 est14 est15 est16 est17 est18 est19 est20 est21 est22 est23 est24 est25 est26 est27 est28 est29
18.60	2.50	9.20	14.00	19.80	107.00	58.40	35.40	47.80	61.20	35.20	0.00	48.60	5.00	13.20	0.00	0.00	0.00	0.00	0.00	30.70	18.40	25.00	2.10	2.80	0.00	12.60	42.40	3.40
73.60	28.20	0.00	6.40	0.20	0.60	28.20	10.40	0.00	27.40	0.00	24.80	0.60	25.00	0.00	20.40	0.00	4.20	0.00	0.00	17.90	0.00	2.20	7.10	3.40	1.60	0.80	3.80	5.10
0.00	0.20	25.00	8.00	52.80	0.60	11.40	5.60	13.10	24.80	23.60	0.00	22.50	0.60	10.30	6.60	18.40	2.20	6.00	0.00	2.50	8.60	4.60	35.20	3.90	22.80	0.60	9.20	4.40
40.20	26.80	24.60	6.60	66.80	0.20	2.20	0.60	0.00	0.00	20.40	6.20	7.20	0.00	3.50	8.40	7.30	4.40	7.20	0.00	6.70	10.20	9.40	22.20	15.30	13.00	0.00	34.00	8.20
14.80	29.40	20.00	0.00	16.20	11.00	42.40	30.40	7.70	0.00	19.20	4.80	32.40	33.00	0.00	11.40	5.20	8.40	4.40	0.00	3.40	25.20	32.00	12.10	80.40	0.00	6.90	2.60	9.20
27.80	56.80	3.20	25.00	24.00	0.50	81.40	11.20	6.20	45.40	16.80	30.60	27.80	37.00	12.70	60.60	7.10	14.00	12.80	0.00	0.00	0.00	20.40	52.30	89.00	14.00	10.50	18.40	48.60
0.00	4.80	11.00	0.50	9.40	0.00	0.00	40.20	25.50	44.80	6.00	36.20	0.10	0.00	15.10	0.00	3.40	0.00	14.40	21.24	12.40	8.20	0.00	0.00	0.00	0.00	9.40	6.20	11.40
28.40	15.80	37.00	14.20	7.40	55.00	0.00	14.00	21.40	16.20	20.00	20.40	23.40	0.00	6.20	5.60	0.00	9.00	5.20	30.48	0.00	26.40	14.20	14.00	33.00	33.00	0.30	9.00	3.80
24.80	0.00	6.00	0.00	0.40	6.20	61.40	0.70	3.30	26.80	20.00	0.00	2.60	0.00	0.00	3.40	0.00	4.00	1.20	18.99	0.00	0.00	0.00	0.00	0.50	0.00	12.50	29.80	0.00
79.60	2.50	10.00	10.00	25.20	44.00	28.40	0.40	0.00	32.60	6.40	8.60	2.40	0.00	5.70	1.20	0.00	7.00	0.00	19.73	0.00	6.40	0.00	6.30	21.50	0.00	0.00	0.30	7.10
54.60	0.20	25.00	24.60	80.10	24.00	98.20	1.70	0.00	50.40	47.00	0.00	11.40	25.00	10.30	23.80	0.00	9.40	0.00	32.28	6.90	12.20	16.40	31.30	10.60	23.20	0.50	6.20	33.50
24.60	19.60	9.00	3.40	8.00	45.00	20.20	46.20	29.40	17.20	32.00	63.20	12.40	7.20	28.20	45.60	43.10	28.20	23.20	22.26	70.80	8.40	26.00	32.10	22.60	29.40	0.60	27.20	4.20
